"names";"ID";"nbr_MS";"start";"end";"used";"blank (ID)";"color";"concentration";"unit";"acq_T0 (ID)";"delta_T (s)";"grp1";"grp2";"..."
"fl_001_FqM";"1";"30";"1";"30";"TRUE";"";"";"";"";"";"";"";"";""
"fl_002_FqP";"2";"30";"31";"60";"TRUE";"";"";"";"";"";"";"";"";""
"fl_003_FqB";"3";"46";"61";"106";"TRUE";"";"";"";"";"";"";"";"";""
"fl_004_Bl1";"4";"30";"107";"136";"TRUE";"";"";"";"";"";"";"";"";""
"fl_005_Bl1";"5";"30";"137";"166";"TRUE";"";"";"";"";"";"";"";"";""
"fl_006_FqM";"6";"30";"167";"196";"TRUE";"";"";"";"";"";"";"";"";""
"fl_007_FqB";"7";"46";"197";"242";"TRUE";"";"";"";"";"";"";"";"";""
"fl_008_FqP";"8";"30";"243";"272";"TRUE";"";"";"";"";"";"";"";"";""
"fl_009_FqP";"9";"30";"273";"302";"TRUE";"";"";"";"";"";"";"";"";""
"fl_010_Bl1";"10";"30";"303";"332";"TRUE";"";"";"";"";"";"";"";"";""
"fl_011_FqP";"11";"30";"333";"362";"TRUE";"";"";"";"";"";"";"";"";""
"fl_012_Bl1";"12";"30";"363";"392";"TRUE";"";"";"";"";"";"";"";"";""
"fl_013_FqB";"13";"46";"393";"438";"TRUE";"";"";"";"";"";"";"";"";""
"fl_014_FqM";"14";"30";"439";"468";"TRUE";"";"";"";"";"";"";"";"";""
"fl_015_FqM";"15";"30";"469";"498";"TRUE";"";"";"";"";"";"";"";"";""
"fl_017_FqB";"16";"46";"499";"544";"TRUE";"";"";"";"";"";"";"";"";""
"fl_018_FqM";"17";"30";"545";"574";"TRUE";"";"";"";"";"";"";"";"";""
"fl_019_FqM";"18";"30";"575";"604";"TRUE";"";"";"";"";"";"";"";"";""
"fl_020_Bl1";"19";"30";"605";"634";"TRUE";"";"";"";"";"";"";"";"";""
"fl_021_FqB";"20";"46";"635";"680";"TRUE";"";"";"";"";"";"";"";"";""
"fl_022_Bl1";"21";"30";"681";"710";"TRUE";"";"";"";"";"";"";"";"";""
"fl_023_FqP";"22";"30";"711";"740";"TRUE";"";"";"";"";"";"";"";"";""
"fl_024_FqB";"23";"46";"741";"786";"TRUE";"";"";"";"";"";"";"";"";""
"fl_026_FqB";"24";"46";"787";"832";"TRUE";"";"";"";"";"";"";"";"";""
"fl_027_FqP";"25";"30";"833";"862";"TRUE";"";"";"";"";"";"";"";"";""
"fl_028_FqP";"26";"30";"863";"892";"TRUE";"";"";"";"";"";"";"";"";""
"fl_029_Bl1";"27";"30";"893";"922";"TRUE";"";"";"";"";"";"";"";"";""
"fl_030_FqM";"28";"30";"923";"952";"TRUE";"";"";"";"";"";"";"";"";""
"fl_031_FqM";"29";"30";"953";"982";"TRUE";"";"";"";"";"";"";"";"";""
"fl_032_Bl1";"30";"46";"983";"1028";"TRUE";"";"";"";"";"";"";"";"";""
"fl_033_FqB";"31";"46";"1029";"1074";"TRUE";"";"";"";"";"";"";"";"";""
